Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,UT1,AA5,UT2,AA6,UT3,AA7,UT4,AA8
Q9BUR4,Q9BUR4;E9PMR3,TCAB1_HUMAN,WRAP53,Telomerase Cajal body protein 1,4.01E+06,3.11E+06,3.99E+06,2.77E+06,4.45E+06,3.12E+06,3.68E+06,3.43E+06
Q9BUR5,Q9BUR5;Q9BUR5-2;G3V1B6;H7C1U8,MIC26_HUMAN,APOO,MICOS complex subunit MIC26,4.85E+06,5.04E+06,4.85E+06,6.92E+06,6.11E+06,6.87E+06,4.40E+06,5.43E+06
Q9BUT1,Q9BUT1;Q9BUT1-2;D6R9U8;D6RFG2;D6RBF6;D6RIR6,BDH2_HUMAN,BDH2,3-hydroxybutyrate dehydrogenase type 2,4.55E+06,6.00E+06,5.71E+06,5.59E+06,5.25E+06,5.59E+06,6.02E+06,5.18E+06
Q9BUT9,Q9BUT9;Q9BUT9-2;I3L172,MCRI2_HUMAN,MCRIP2,MAPK regulated corepressor interacting protein 2,362976,63823.9,109795,,597653,,,
Q9BUZ4,Q9BUZ4;F6SA91,TRAF4_HUMAN,TRAF4,TNF receptor-associated factor 4,1.44E+06,770105,1.67E+06,1.21E+06,1.50E+06,759811,1.52E+06,929561
Q9BV19,Q9BV19,CA050_HUMAN,C1orf50,Uncharacterized protein C1orf50,,407878,,,,,,
Q9BV20,Q9BV20;Q9BV20-2,MTNA_HUMAN,MRI1,Methylthioribose-1-phosphate isomerase,8.52E+06,9.20E+06,8.24E+06,9.36E+06,8.13E+06,8.62E+06,8.43E+06,9.58E+06
Q9BV38,Q9BV38;A0A0A0MQU0;U3KQC1;K7EIR0,WDR18_HUMAN,WDR18,WD repeat-containing protein 18,2.69E+07,2.34E+07,2.38E+07,2.45E+07,2.32E+07,2.58E+07,2.38E+07,2.64E+07
Q9BV44,Q9BV44,THUM3_HUMAN,THUMPD3,THUMP domain-containing protein 3,4.88E+06,4.27E+06,5.16E+06,4.85E+06,5.06E+06,3.88E+06,5.33E+06,5.06E+06
Q9BV57,Q9BV57;Q9BV57-2;A0A0G2JQN5,MTND_HUMAN,ADI1,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",6.24E+06,7.55E+06,6.51E+06,8.01E+06,5.82E+06,7.38E+06,6.06E+06,6.48E+06
Q9BV68,Q9BV68;K7EIY6;U3KQF4,RN126_HUMAN,RNF126,E3 ubiquitin-protein ligase RNF126,9.05E+06,1.63E+07,9.27E+06,1.19E+07,9.78E+06,1.27E+07,1.02E+07,1.28E+07
Q9BV79,Q9BV79;Q9BV79-2;H3BM30,MECR_HUMAN,MECR,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial",,,980059,1.47E+06,1.09E+06,1.92E+06,856644,1.37E+06
Q9BV86,Q9BV86;Q9BV86-2,NTM1A_HUMAN,NTMT1,N-terminal Xaa-Pro-Lys N-methyltransferase 1,6.61E+06,4.73E+06,5.90E+06,4.83E+06,6.51E+06,4.92E+06,6.35E+06,5.33E+06
Q9BVA0,Q9BVA0;H3BTU7,KTNB1_HUMAN,KATNB1,Katanin p80 WD40 repeat-containing subunit B1,1.67E+06,2.15E+06,1.89E+06,1.86E+06,2.01E+06,1.94E+06,2.04E+06,1.91E+06
Q9BVA1,Q9BVA1;Q13885,TBB2B_HUMAN,TUBB2B,Tubulin beta-2B chain,4.46E+07,4.89E+07,3.52E+07,6.47E+07,3.98E+07,4.70E+07,3.64E+07,5.38E+07
Q9BVC3,Q9BVC3,DCC1_HUMAN,DSCC1,Sister chromatid cohesion protein DCC1,709299,919881,739664,789241,751559,831576,735849,676617
Q9BVC4,Q9BVC4;Q9BVC4-3;Q9BVC4-4;Q9BVC4-5;H3BN58;A0A0A0MR05;H3BPT1;H3BPU5;H3BM50;H3BSZ4;H3BR25,LST8_HUMAN,MLST8,Target of rapamycin complex subunit LST8,1.74E+06,2.11E+06,1.91E+06,2.45E+06,2.01E+06,1.84E+06,2.01E+06,2.17E+06
Q9BVC5;Q9BVC5-2,Q9BVC5;Q9BVC5-2;C9J4K0,ASHWN_HUMAN,C2orf49,Ashwin,3.23E+06,4.48E+06,4.03E+06,3.75E+06,3.88E+06,3.85E+06,4.17E+06,4.49E+06
Q9BVC6,Q9BVC6,TM109_HUMAN,TMEM109,Transmembrane protein 109,2.92E+07,2.99E+07,3.49E+07,2.91E+07,3.41E+07,2.22E+07,2.38E+07,2.34E+07
Q9BVG4,Q9BVG4;A6NDF3,PBDC1_HUMAN,PBDC1,Protein PBDC1,2.24E+07,2.70E+07,2.22E+07,2.61E+07,2.29E+07,2.67E+07,2.27E+07,2.94E+07
Q9BVG9,Q9BVG9;E9PLE4;E9PS47,PTSS2_HUMAN,PTDSS2,Phosphatidylserine synthase 2,980365,912556,,1.52E+06,1.21E+06,877653,,911446
Q9BVI4,Q9BVI4;F5H303,NOC4L_HUMAN,NOC4L,Nucleolar complex protein 4 homolog,1.31E+07,1.36E+07,1.47E+07,1.54E+07,1.39E+07,1.40E+07,1.42E+07,1.47E+07
Q9BVJ6,Q9BVJ6,UT14A_HUMAN,UTP14A,U3 small nucleolar RNA-associated protein 14 homolog A,1.38E+07,1.40E+07,1.50E+07,1.32E+07,1.41E+07,1.41E+07,1.32E+07,1.29E+07
Q9BVK2;Q9BVK2-2,Q9BVK2;Q9BVK2-2;A0A7P0T810;A0A7P0TAA8;A0A7P0T9A3;H0YDV4;A0A804G6E3;A0A7P0TAL7;A0A7P0Z449;A0A7P0T845;A0A7P0T8Q8;H0YCV0;E9PKA5;A0A7P0TAA1;E9PR58;H0YDD3;A0A7P0T837;A0A7P0T919,ALG8_HUMAN,ALG8,"Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase",,,,2.42E+06,,,1.37E+06,2.02E+06
Q9BVK6,Q9BVK6,TMED9_HUMAN,TMED9,Transmembrane emp24 domain-containing protein 9,8.73E+06,8.77E+06,1.01E+07,1.28E+07,1.04E+07,1.02E+07,1.02E+07,9.21E+06
Q9BVL2;Q9BVL2-2;Q9BVL2-3,Q9BVL2;Q9BVL2-2;Q9BVL2-3;Q5JRG1;H7BYF2,NUP58_HUMAN,NUP58,Nucleoporin p58/p45,9.05E+06,1.10E+07,8.88E+06,9.85E+06,9.57E+06,1.05E+07,1.17E+07,1.05E+07
Q9BVL4,Q9BVL4;A0A087X0Q9,SELO_HUMAN,SELENOO,"Protein adenylyltransferase SelO, mitochondrial",280348,461382,438432,623256,573690,649943,583329,625774
Q9BVM2,Q9BVM2,DPCD_HUMAN,DPCD,Protein DPCD,,4.08E+06,3.62E+06,4.03E+06,3.57E+06,3.42E+06,3.69E+06,3.55E+06
Q9BVN2;Q9BVN2-4,Q9BVN2;Q9BVN2-4,RUSC1_HUMAN,RUSC1,AP-4 complex accessory subunit RUSC1,1.05E+06,,1.15E+06,886923,1.06E+06,1.30E+06,1.29E+06,970925
Q9BVP2;Q9BVP2-2,Q9BVP2;Q9BVP2-2,GNL3_HUMAN,GNL3,Guanine nucleotide-binding protein-like 3,4.68E+07,5.63E+07,4.93E+07,5.39E+07,4.92E+07,5.63E+07,4.85E+07,5.73E+07
Q9BVQ7,Q9BVQ7;Q9BVQ7-2;Q9BVQ7-3,SPA5L_HUMAN,SPATA5L1,Spermatogenesis-associated protein 5-like protein 1,2.78E+06,3.31E+06,2.61E+06,2.87E+06,2.81E+06,2.98E+06,2.59E+06,2.81E+06
Q9BVS4,Q9BVS4;Q9BVS4-2;H0Y919;H0Y8R4,RIOK2_HUMAN,RIOK2,Serine/threonine-protein kinase RIO2,2.77E+06,2.74E+06,3.34E+06,2.65E+06,3.59E+06,2.74E+06,3.33E+06,2.87E+06
Q9BVS5,Q9BVS5;H7C2E8,TR61B_HUMAN,TRMT61B,"tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial",1.02E+06,1.35E+06,1.16E+06,1.14E+06,1.41E+06,1.26E+06,1.28E+06,1.23E+06
Q9BVT8,Q9BVT8;C9JE12;C9JCW7;A0A590UJA9,TMUB1_HUMAN,TMUB1,Transmembrane and ubiquitin-like domain-containing protein 1,1.19E+06,720530,984001,1.09E+06,1.17E+06,1.10E+06,869046,634829
Q9BVV6;Q9BVV6-2;Q9BVV6-3;Q9BVV6-4,Q9BVV6;Q9BVV6-2;Q9BVV6-3;Q9BVV6-4;A0A494C171;A0A087WYM5;A0A494C0M8,TALD3_HUMAN,KIAA0586,Protein TALPID3,,,188834,,212691,,184822,
Q9BVW5,Q9BVW5,TIPIN_HUMAN,TIPIN,TIMELESS-interacting protein,2.04E+06,1.99E+06,2.08E+06,1.39E+06,2.12E+06,1.50E+06,2.38E+06,1.85E+06
Q9BW11-4,Q9BW11-4,MAD3_HUMAN,MXD3,Isoform 4 of Max dimerization protein 3,3.61E+06,3.15E+06,2.49E+06,5.24E+06,2.95E+06,4.21E+06,2.38E+06,2.54E+06
Q9BW19,Q9BW19,KIFC1_HUMAN,KIFC1,Kinesin-like protein KIFC1,4.56E+06,5.23E+06,5.57E+06,5.17E+06,4.62E+06,5.04E+06,5.30E+06,5.43E+06
Q9BW27,Q9BW27;Q9BW27-2;Q9BW27-3;J3QLV0;J3QL54;J3KT10;J3QLH0;J3QLD4,NUP85_HUMAN,NUP85,Nuclear pore complex protein Nup85,1.06E+07,1.07E+07,9.62E+06,1.23E+07,1.25E+07,1.17E+07,1.18E+07,1.22E+07
Q9BW60,Q9BW60,ELOV1_HUMAN,ELOVL1,Elongation of very long chain fatty acids protein 1,979097,,1.02E+06,3.03E+06,2.84E+06,797804,,
Q9BW61,Q9BW61,DDA1_HUMAN,DDA1,DET1- and DDB1-associated protein 1,7.07E+06,5.85E+06,7.76E+06,7.85E+06,9.53E+06,6.90E+06,8.51E+06,7.97E+06
Q9BW71,Q9BW71;Q9BW71-2,HIRP3_HUMAN,HIRIP3,HIRA-interacting protein 3,6.33E+06,7.55E+06,6.36E+06,7.43E+06,6.96E+06,7.08E+06,7.72E+06,8.02E+06
Q9BW83,Q9BW83;Q9BW83-2;F5GZ09;B1AH58,IFT27_HUMAN,IFT27,Intraflagellar transport protein 27 homolog,5.03E+06,4.41E+06,4.20E+06,5.19E+06,3.98E+06,4.45E+06,4.17E+06,4.26E+06
Q9BW85,Q9BW85,YJU2_HUMAN,YJU2,Splicing factor YJU2,6.04E+06,7.11E+06,6.06E+06,7.57E+06,7.32E+06,7.10E+06,6.39E+06,7.53E+06
Q9BW91;Q9BW91-2,Q9BW91;Q9BW91-2;D6R8Z6;H7C386;D6RAW2,NUDT9_HUMAN,NUDT9,"ADP-ribose pyrophosphatase, mitochondrial",4.67E+06,4.62E+06,5.09E+06,5.12E+06,5.02E+06,4.68E+06,5.00E+06,4.83E+06
Q9BW92,Q9BW92,SYTM_HUMAN,TARS2,"Threonine--tRNA ligase, mitochondrial",5.61E+06,6.36E+06,4.88E+06,7.59E+06,5.81E+06,7.55E+06,4.56E+06,5.42E+06
Q9BWD1,Q9BWD1;Q9BWD1-2,THIC_HUMAN,ACAT2,"Acetyl-CoA acetyltransferase, cytosolic",5.24E+07,5.73E+07,4.92E+07,5.51E+07,5.02E+07,5.33E+07,5.37E+07,5.83E+07
Q9BWE0;Q9BWE0-4,Q9BWE0;Q9BWE0-4;C9JYJ8;E7EVL6;C9JZE3,REPI1_HUMAN,REPIN1,Replication initiator 1,,480451,699730,471705,,300078,549953,488663
Q9BWF3,Q9BWF3;Q9BWF3-2;Q9BWF3-3;Q9BWF3-4;Q9BQ04;J3QRR5;D6R9K7;U3KQD5;E9PB51;E9PLB0;E9PM61,RBM4_HUMAN,RBM4,RNA-binding protein 4,3.92E+07,3.49E+07,4.15E+07,3.34E+07,3.79E+07,3.70E+07,4.00E+07,3.45E+07
Q9BWG4;Q9BWG4-2,Q9BWG4;Q9BWG4-2;V9GYB2;U3KPY3,SSBP4_HUMAN,SSBP4,Single-stranded DNA-binding protein 4,2.10E+06,2.10E+06,2.25E+06,1.92E+06,1.93E+06,2.13E+06,2.23E+06,2.33E+06
Q9BWG6;Q9BWG6-2,Q9BWG6;Q9BWG6-2,SCNM1_HUMAN,SCNM1,Sodium channel modifier 1,2.34E+06,,2.15E+06,1.26E+06,2.17E+06,1.54E+06,1.98E+06,1.28E+06
Q9BWH2,Q9BWH2,FUND2_HUMAN,FUNDC2,FUN14 domain-containing protein 2,1.93E+06,1.49E+06,1.51E+06,2.17E+06,2.82E+06,1.51E+06,1.11E+06,1.39E+06
Q9BWH6,Q9BWH6;Q9BWH6-2;Q9BWH6-3,RPAP1_HUMAN,RPAP1,RNA polymerase II-associated protein 1,1.91E+06,2.77E+06,2.58E+06,2.60E+06,2.68E+06,2.44E+06,3.13E+06,3.11E+06
Q9BWJ5,Q9BWJ5,SF3B5_HUMAN,SF3B5,Splicing factor 3B subunit 5,7.72E+06,1.55E+07,7.99E+06,1.93E+07,8.86E+06,1.74E+07,7.36E+06,1.40E+07
Q9BWM7,Q9BWM7;S4R3N9;A0A1P0AYU5,SFXN3_HUMAN,SFXN3,Sideroflexin-3,,6.52E+06,,,,,,
Q9BWS9;Q9BWS9-2;Q9BWS9-3,Q9BWS9;Q9BWS9-2;Q9BWS9-3,CHID1_HUMAN,CHID1,Chitinase domain-containing protein 1,2.08E+06,2.12E+06,2.49E+06,2.19E+06,2.29E+06,2.50E+06,2.55E+06,2.18E+06
Q9BWT1;Q9BWT1-2;Q9BWT1-3;Q9BWT1-5;Q9BWT1-6,Q9BWT1;Q9BWT1-2;Q9BWT1-3;Q9BWT1-5;Q9BWT1-6,CDCA7_HUMAN,CDCA7,Cell division cycle-associated protein 7,1.08E+06,,686593,,805658,,711687,
Q9BWT3,Q9BWT3;Q9BWT3-2;A0A0C4DH56,PAPOG_HUMAN,PAPOLG,Poly(A) polymerase gamma,2.61E+06,2.06E+06,3.30E+06,1.90E+06,3.13E+06,2.27E+06,2.80E+06,2.24E+06
Q9BWT6,Q9BWT6;A0A6Q8PHG4;D6RIA0;D6R9E3;A0A6Q8PFL9;D6RCT6;A0A087WTC6;A0A6Q8PF18,MND1_HUMAN,MND1,Meiotic nuclear division protein 1 homolog,1.35E+06,1.58E+06,1.71E+06,1.63E+06,1.70E+06,1.24E+06,1.40E+06,1.53E+06
Q9BWU0,Q9BWU0;A0A087X0M4,NADAP_HUMAN,SLC4A1AP,Kanadaptin,8.60E+06,9.10E+06,9.20E+06,8.32E+06,9.09E+06,9.65E+06,9.21E+06,9.44E+06
Q9BWW4;Q9BWW4-2;Q9BWW4-3,Q9BWW4;Q9BWW4-2;Q9BWW4-3;Q9NW25;A0A087WVT6,SSBP3_HUMAN,SSBP3,Single-stranded DNA-binding protein 3,2.00E+06,2.15E+06,1.94E+06,1.99E+06,2.61E+06,2.24E+06,2.34E+06,1.90E+06
Q9BX40,Q9BX40;Q9BX40-3;Q5TBP9;Q5TBQ0,LS14B_HUMAN,LSM14B,Protein LSM14 homolog B,5.01E+06,6.01E+06,4.90E+06,6.87E+06,5.85E+06,6.83E+06,5.33E+06,7.33E+06
Q9BX40-3,Q9BX40-3;Q5TBP9,LS14B_HUMAN,LSM14B,Isoform 3 of Protein LSM14 homolog B,3.51E+06,3.40E+06,2.59E+06,3.31E+06,3.05E+06,3.42E+06,3.34E+06,3.42E+06
Q9BX63,Q9BX63;Q9BX63-2;A0A804HK62;J3QKX0;A0A804HJY1;A0A804HKS0;A0A804HL36;A0A804HJU1;A0A804HJV4,FANCJ_HUMAN,BRIP1,Fanconi anemia group J protein,479622,614449,710830,759747,637173,659692,501700,574867
Q9BX67;Q9BX67-2,Q9BX67;Q9BX67-2,JAM3_HUMAN,JAM3,Junctional adhesion molecule C,3.03E+06,4.20E+06,3.54E+06,3.90E+06,4.16E+06,3.80E+06,3.60E+06,3.77E+06
Q9BX68,Q9BX68,HINT2_HUMAN,HINT2,Adenosine 5'-monophosphoramidase HINT2,1.58E+06,2.39E+06,1.10E+06,3.02E+06,1.12E+06,2.76E+06,786841,1.91E+06
Q9BX70,Q9BX70;K7EMW9,BTBD2_HUMAN,BTBD2,BTB/POZ domain-containing protein 2,693957,,568014,,532836,,782159,
Q9BXB4,Q9BXB4;Q9BXB5;Q9BXB5-2;A0A5F9ZH75;H7C487,OSB11_HUMAN,OSBPL11,Oxysterol-binding protein-related protein 11,5.99E+06,5.89E+06,4.88E+06,5.39E+06,5.30E+06,5.14E+06,5.87E+06,6.02E+06
Q9BXF3;Q9BXF3-3,Q9BXF3;Q9BXF3-3;B7WPH3;A0A087WT21;A0A0R4J2E1,CECR2_HUMAN,CECR2,Cat eye syndrome critical region protein 2,454136,553809,,389108,1.46E+06,710405,1.20E+06,817159
Q9BXF6,Q9BXF6;A0A1B0GTL5,RFIP5_HUMAN,RAB11FIP5,Rab11 family-interacting protein 5,896710,465250,487473,465239,724703,,530163,574174
Q9BXH1,Q9BXH1,BBC3_HUMAN,BBC3,"Bcl-2-binding component 3, isoforms 1/2",379739,599763,466459,611053,432165,691117,415548,557007
Q9BXJ9,Q9BXJ9;Q9BXJ9-4;A0A0B4J1W3,NAA15_HUMAN,NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",3.81E+07,3.88E+07,3.88E+07,3.61E+07,3.76E+07,3.90E+07,3.88E+07,4.07E+07
Q9BXK1,Q9BXK1,KLF16_HUMAN,KLF16,Krueppel-like factor 16,3.85E+06,2.63E+06,3.06E+06,2.74E+06,4.23E+06,2.62E+06,3.86E+06,3.02E+06
Q9BXK5,Q9BXK5;Q9BXK5-2;A0A087WX97,B2L13_HUMAN,BCL2L13,Bcl-2-like protein 13,1.12E+06,1.57E+06,1.30E+06,1.72E+06,1.57E+06,1.65E+06,870180,1.38E+06
Q9BXP2,Q9BXP2,S12A9_HUMAN,SLC12A9,Solute carrier family 12 member 9,2.04E+06,,1.30E+06,1.99E+06,1.39E+06,1.10E+06,,1.38E+06
Q9BXP5;Q9BXP5-2;Q9BXP5-3;Q9BXP5-4,Q9BXP5;Q9BXP5-2;Q9BXP5-3;Q9BXP5-4,SRRT_HUMAN,SRRT,Serrate RNA effector molecule homolog,3.04E+07,3.19E+07,3.22E+07,3.17E+07,2.99E+07,3.42E+07,3.09E+07,3.37E+07
Q9BXR0,Q9BXR0;Q9BXR0-2;K7ESP6;K7EJ21,TGT_HUMAN,QTRT1,Queuine tRNA-ribosyltransferase catalytic subunit 1,8.71E+06,1.23E+07,8.42E+06,1.30E+07,9.97E+06,1.34E+07,1.02E+07,1.19E+07
Q9BXS5;Q9BXS5-2,Q9BXS5;Q9BXS5-2;K7EJL1;E7ENJ6,AP1M1_HUMAN,AP1M1,AP-1 complex subunit mu-1,6.33E+06,5.31E+06,6.16E+06,5.73E+06,6.21E+06,5.72E+06,6.46E+06,5.76E+06
Q9BXS6;Q9BXS6-2;Q9BXS6-3;Q9BXS6-4;Q9BXS6-5;Q9BXS6-6,Q9BXS6;Q9BXS6-2;Q9BXS6-3;Q9BXS6-4;Q9BXS6-5;Q9BXS6-6;Q9BXS6-7,NUSAP_HUMAN,NUSAP1,Nucleolar and spindle-associated protein 1,905095,650783,834145,570914,982782,678338,1.31E+06,588615
Q9BXV9,Q9BXV9,GON7_HUMAN,GON7,EKC/KEOPS complex subunit GON7,,427455,,322969,,363931,481428,439391
Q9BXW6;Q9BXW6-2;Q9BXW6-4,Q9BXW6;Q9BXW6-2;Q9BXW6-4,OSBL1_HUMAN,OSBPL1A,Oxysterol-binding protein-related protein 1,181062,293714,204566,153413,,300331,179275,149261
Q9BXW7;Q9BXW7-2,Q9BXW7;Q9BXW7-2,HDHD5_HUMAN,HDHD5,Haloacid dehalogenase-like hydrolase domain-containing 5,2.71E+06,2.61E+06,1.60E+06,2.97E+06,2.38E+06,2.47E+06,1.24E+06,2.24E+06
Q9BXW9;Q9BXW9-1,Q9BXW9;Q9BXW9-1;Q9BXW9-3;Q9BXW9-4;A0A6Q8PFY3,FACD2_HUMAN,FANCD2,Fanconi anemia group D2 protein,4.76E+06,4.87E+06,5.12E+06,4.69E+06,4.58E+06,4.56E+06,4.98E+06,4.28E+06
Q9BXX0,Q9BXX0,EMIL2_HUMAN,EMILIN2,EMILIN-2,631683,,667980,,877359,,561075,
Q9BXY0,Q9BXY0;H0YBV6,MAK16_HUMAN,MAK16,Protein MAK16 homolog,1.13E+07,1.21E+07,9.55E+06,1.07E+07,1.12E+07,1.10E+07,9.23E+06,1.19E+07
Q9BY32,Q9BY32;Q9BY32-2;Q9BY32-3,ITPA_HUMAN,ITPA,Inosine triphosphate pyrophosphatase,4.09E+06,4.95E+06,3.54E+06,4.89E+06,4.14E+06,3.93E+06,3.97E+06,6.04E+06
Q9BY41;Q9BY41-4;Q9BY41-5,Q9BY41;Q9BY41-4;Q9BY41-5;Q9BY41-6;A6NFW1;A0A3B3IRP8;A0A3B3IS68;A6NMT1;A0A3B3IRZ0;A0A3B3IT30;A0A3B3IU01;A0A3B3ISE4;E7EVA8;A0A3B3IRV1;A0A3B3ITZ3;A0A3B3IT95;A6NGJ7;A0A3B3ISJ4;A0A3B3IT84;A0A3B3IU62;A0A3B3IRZ8;A0A3B3IT04;A0A3B3IRI9;A0A3B3ISS7,HDAC8_HUMAN,HDAC8,Histone deacetylase 8,1.10E+06,1.61E+06,1.16E+06,1.79E+06,1.39E+06,1.52E+06,1.45E+06,1.48E+06
Q9BY42,Q9BY42;A0A0A0MQR2;A2A2L5,RTF2_HUMAN,RTF2,Replication termination factor 2,2.83E+06,1.30E+06,2.93E+06,1.59E+06,3.16E+06,1.23E+06,3.03E+06,1.57E+06
Q9BY43;Q9BY43-2,Q9BY43;Q9BY43-2;H0YIN6,CHM4A_HUMAN,CHMP4A,Charged multivesicular body protein 4a,5.49E+06,5.74E+06,7.05E+06,6.51E+06,6.36E+06,7.24E+06,6.58E+06,6.10E+06
Q9BY44,Q9BY44;Q9BY44-3;Q9BY44-4;H7C5Q3;C9IZE1,EIF2A_HUMAN,EIF2A,Eukaryotic translation initiation factor 2A,2.87E+07,2.80E+07,2.54E+07,2.76E+07,2.58E+07,2.66E+07,2.39E+07,2.77E+07
Q9BY67;Q9BY67-3;Q9BY67-4;Q9BY67-5,Q9BY67;Q9BY67-2;Q9BY67-3;Q9BY67-4;Q9BY67-5;A0A0A0MTJ8;A0A087X1W8;F5H8J9;X5DQS5;A0A087X0T8,CADM1_HUMAN,CADM1,Cell adhesion molecule 1,5.54E+06,7.21E+06,5.65E+06,5.91E+06,5.55E+06,6.37E+06,4.19E+06,5.71E+06
Q9BY77,Q9BY77;Q9BY77-2;F8WCX5;F6VRR5;Q8WUT1,PDIP3_HUMAN,POLDIP3,Polymerase delta-interacting protein 3,1.01E+07,1.03E+07,1.19E+07,1.14E+07,1.18E+07,9.82E+06,1.19E+07,1.11E+07
Q9BY89,Q9BY89;Q9BY89-2;A0A1B0GVJ7,K1671_HUMAN,KIAA1671,Uncharacterized protein KIAA1671,794439,579814,794658,651711,810260,851594,1.02E+06,738960
Q9BYB4,Q9BYB4;Q9BYB4-2;C9JPQ6,GNB1L_HUMAN,GNB1L,Guanine nucleotide-binding protein subunit beta-like protein 1,2.15E+06,2.44E+06,1.66E+06,1.84E+06,1.44E+06,1.98E+06,1.44E+06,1.61E+06
Q9BYC8,Q9BYC8,RM32_HUMAN,MRPL32,"39S ribosomal protein L32, mitochondrial",858226,1.59E+06,1.10E+06,1.41E+06,1.19E+06,950854,,1.11E+06
Q9BYC9,Q9BYC9;Q9BYC9-2;I3L2X1,RM20_HUMAN,MRPL20,"39S ribosomal protein L20, mitochondrial",2.93E+06,3.36E+06,2.94E+06,4.37E+06,3.53E+06,3.50E+06,3.81E+06,4.23E+06
Q9BYD1,Q9BYD1;E5RJI7,RM13_HUMAN,MRPL13,"39S ribosomal protein L13, mitochondrial",2.36E+06,2.65E+06,1.96E+06,3.60E+06,3.10E+06,3.01E+06,1.61E+06,2.20E+06
Q9BYD2,Q9BYD2,RM09_HUMAN,MRPL9,"39S ribosomal protein L9, mitochondrial",7.52E+06,7.53E+06,7.18E+06,8.83E+06,7.77E+06,7.49E+06,5.13E+06,6.56E+06
Q9BYD3,Q9BYD3;Q9BYD3-2;X6RAY8;K7ES61;K7ELQ0;K7ELF1;K7EKI4,RM04_HUMAN,MRPL4,"39S ribosomal protein L4, mitochondrial",4.47E+06,3.92E+06,3.19E+06,5.64E+06,3.83E+06,4.68E+06,2.57E+06,3.24E+06
Q9BYD6,Q9BYD6;H0Y8N7,RM01_HUMAN,MRPL1,"39S ribosomal protein L1, mitochondrial",5.38E+06,6.00E+06,4.96E+06,7.20E+06,6.37E+06,6.37E+06,3.83E+06,4.67E+06
Q9BYE7,Q9BYE7,PCGF6_HUMAN,PCGF6,Polycomb group RING finger protein 6,2.18E+06,1.79E+06,1.76E+06,1.34E+06,1.83E+06,1.73E+06,2.16E+06,1.65E+06
Q9BYG3,Q9BYG3;C9J808;H7BZL0,MK67I_HUMAN,NIFK,MKI67 FHA domain-interacting nucleolar phosphoprotein,1.59E+07,1.58E+07,1.71E+07,1.72E+07,1.53E+07,1.69E+07,1.48E+07,1.64E+07
Q9BYG5,Q9BYG4;Q9NPB6;Q9NPB6-2;Q9BYG5;R4GMM2,PAR6B_HUMAN,PARD6B,Partitioning defective 6 homolog beta,3.38E+06,3.22E+06,2.80E+06,2.16E+06,2.93E+06,2.67E+06,2.14E+06,3.20E+06
Q9BYI3;Q9BYI3-3,Q9BYI3;Q9BYI3-3;A0A7P0T8K2;A0A7P0TBJ9;A0A7P0Z4L0;B8ZZA2;A0A7P0TAP6;A0A7P0T8Q9,HYCCI_HUMAN,FAM126A,Hyccin,1.27E+06,,1.24E+06,927882,1.24E+06,807142,1.05E+06,950001
Q9BYJ9,Q9BYJ9;Q7Z739;A0A087X0Q1;A0A024R7W5;A0A087WY31,YTHD1_HUMAN,YTHDF1,YTH domain-containing family protein 1,5.28E+06,5.66E+06,5.75E+06,5.80E+06,5.49E+06,5.60E+06,5.91E+06,5.71E+06
Q9BYN0,Q9BYN0,SRXN1_HUMAN,SRXN1,Sulfiredoxin-1,716905,566398,554707,414523,967499,454238,566490,663277
Q9BYN8,Q9BYN8,RT26_HUMAN,MRPS26,"28S ribosomal protein S26, mitochondrial",9.43E+06,9.52E+06,8.67E+06,1.26E+07,9.14E+06,1.07E+07,6.48E+06,8.59E+06
Q9BYP7;Q9BYP7-2;Q9BYP7-3;Q9BYP7-4,Q9BYP7;Q9BYP7-2;Q9BYP7-3;Q9BYP7-4;A0A087WYK2,WNK3_HUMAN,WNK3,Serine/threonine-protein kinase WNK3,134592,110796,,268211,,175557,231234,235528
Q9BYT3,Q9BYT3;B4DDH2;F8WAK5,STK33_HUMAN,STK33,Serine/threonine-protein kinase 33,77847.6,148216,103889,,,155841,159123,
Q9BYT8,Q9BYT8;E9PCB6;H0YAK4,NEUL_HUMAN,NLN,"Neurolysin, mitochondrial",4.70E+06,4.96E+06,4.06E+06,5.00E+06,4.88E+06,5.29E+06,4.89E+06,5.18E+06
Q9BYV8,Q9BYV8;Q9BYV8-2;Q9BYV8-5;A0A6Q8PEV5;A0A7I2PK71;A0A6Q8PG60;A0A7I2SYM4;A0A6Q8PFB1;A0A6Q8PH03;F8WAV3;C9J6R3;A0A6Q8PF12;A0A6Q8PFB5,CEP41_HUMAN,CEP41,Centrosomal protein of 41 kDa,1.18E+06,1.06E+06,1.09E+06,940192,834050,1.05E+06,1.07E+06,904633
Q9BYW2,Q9BYW2;Q9BYW2-2;Q9BYW2-3;H7BZ93;H7BXT4;C9JG86;H7C3H4,SETD2_HUMAN,SETD2,Histone-lysine N-methyltransferase SETD2,1.95E+06,1.62E+06,2.26E+06,1.66E+06,2.25E+06,1.50E+06,2.19E+06,1.60E+06
